PO Number (if  first tier vendor) or ICA-DOU (if IBM entity or IBM Subsidiary)|Procurement Vendor ID (Mandatory for 1° Tier Vendor)|Supplier Name|Country|VAT Number|PO Number (if  first tier vendor) or ICA-DOU (if IBM entity or IBM Subsidiary)|Is the PO GDPR Relevant?|Is there further sub-contracting to second or third tier vendors? If so please provide the full names and full address of 2nd or 3rd tier vendors|Briefly describe the type of services/data processing activity performed by the Vendor|In what category is the Vendor s Service Description ? (using the categories in GSAR (Global Solution Architecture Repository))|PO Status|Start Date|End Date|Business Unit that provide the services through this vendor (free text )|Requester/Approver Name|Please identify the Customer(s) or Account(s) under the PO|NOTE|FP - T&M|Full Supplier Address
5005037199|1000280407|FIRST NATIONAL TECHNOLOGY SOLUTIONS|UNITED STATES|Not Applicable|5005037199|Yes|N/A|INFRASTRUCTURE AS SVCS--IAAS|Systems Management Operations like (1) Integrated Service Management and Governance; (2) Portable Storage Media; (3) System Operations and (4) Systems Management Integration|Open|4/1/2017|6/30/2020|GTS IS|Mike Massey|ACTIVE NETW LLC|US|FP|1620 DODGE STREET SC 1161NE68197-1161OMAHA
5005018947|1000194500|ARTECH INFORMATION SYSTEMS LLC     |UNITED STATES|Not Applicable|5005018947|Yes|N/A|PROJECT MANAGER FOR CLOUD IDENTITY MANAGEMENT|Identity & Access Management (*all)|Open|2/21/2017|2/20/2018|GTS IS|Chris Mapes Ed Tidik|AECOM|US|FP|SUITE 100 240 CEDAR KNOLLS ROADNJ07927-1621CEDAR KNOLLS
5005076852|1000194500|ARTECH INFORMATION SYSTEMS LLC|UNITED STATES|Not Applicable|5005076852|Yes|N/A|SUBCON SKILL T&M|Managed Network Services|Open|4/15/2017|4/16/2018|GTS IS|Eric Roman Racero|AECOM|US|FP|SUITE 100 240 CEDAR KNOLLS ROADNJ07927-1621CEDAR KNOLLS
5005130107|1000444847|EN POINTE IT SOLUTIONS LLC|UNITED STATES|Not Applicable|5005130107|Yes|N/A|BACKUP MONITORING AND REMEDIATION EFFORTS|Distributed Middleware Databases Servers and Storage Management|Open|7/1/2017|6/30/2018|GTS IS|Kent Howieson|AECOM|US|FP|2121 ROSECRANS AVE SUITE 4310CA90245-4743EL SEGUNDO
5005127105|1000069449|SHI INTERNATIONAL CORP|UNITED STATES|Not Applicable|5005127105|Yes|N/A|EMERGING SW SVCS|NA as not GDPR Relevent|Open|11/23/2017|11/22/2018|GTS IS|Mark Konchalski|AES|US|FP|PO Box 952121 DALLASTX75395-2121DALLAS
5005133827|1000431414|SOLACE SYSTEMS INC|UNITED STATES|Not Applicable|5005133827|Yes|N/A|NETWORK MANAGED PRT SVCS (MPS)|NA as not GDPR Relevent|Open|1/1/2018|12/31/2018|GTS IS|Regina Urquhart|AMER EXPR TRA R|US|FP|535 Legget Drive 3rd Floor KANATA ON  K2K 3B8 KanadaKanada
5004761514|1000428106|XCEED CONSULTANCY SERVICES INC|UNITED STATES|Not Applicable|5004761514|Yes|N/A|SAP SKILLS|NA as not GDPR Relevent|Open|7/16/2016|7/16/2017|GTS IS|Jeffrey Deuell|AVIS BUDG CAR R|US|FP|100 CHURCH STREET SUITE 800NY10007-2621NEW YORK
5005014325|1000117117|BOSTON INTERNATIONAL TECHNOLOGIES|UNITED STATES|Not Applicable|5005014325|Yes|N/A|PROVIDES NESSUS SECURITY SCANNING SERVICES   |NA as not GDPR Relevent|Open|3/13/2017|10/31/2021|GTS IS|Walt Paulson/Jay Vanikar/Kim Hancock|BLACKB|US|FP|611 BURROUGHS AND CHAPIN BLVDSC29577-3200MYRTLE BEACH
5004963024|1000192424|EQUINIX INC|UNITED STATES|Not Applicable|5004963024|Yes|N/A|DATACENTER LEASE|NA as not GDPR Relevent|Open|11/16/2016|11/16/2017|GTS IS|Walt Paulson/Jay Vanikar/Kim Hancock|BLACKB|US|FP|301 VELOCITY WAY 5TH FL CA 94404-4803Foster City
5004907025|1000402992|INFORELIANCE CORPORATION|UNITED STATES|Not Applicable|5004907025|Yes|N/A|PROVIDES AMAZON WEB SERVICES CONSULTING AND PASSES THROUGH AWS CLOUD CHARGES     |NA as not GDPR Relevent|Open|7/25/2016|12/31/2016|GTS IS|Walt Paulson/Jay Vanikar/Kim Hancock|BLACKB|US|FP|2750 PROSPERITY AVE STE 600VA22031-4312FAIRFAX
5004934219|1000402992|INFORELIANCE CORPORATION|UNITED STATES|Not Applicable|5004934219|Yes|N/A|PROVIDES AMAZON WEB SERVICES CONSULTING AND PASSES THROUGH AWS CLOUD CHARGES     |NA as not GDPR Relevent|Open|9/1/2016|12/31/2017|GTS IS|Walt Paulson/Jay Vanikar/Kim Hancock|BLACKB|US|FP|2750 PROSPERITY AVE STE 600VA22031-4312FAIRFAX
5004963025|1000350608|RACKSPACE MANAGED HOSTING|UNITED STATES|Not Applicable|5004963025|Yes|N/A|DATACENTER LEASE|NA as not GDPR Relevent|Open|11/16/2016|11/16/2017|GTS IS|Walt Paulson/Jay Vanikar/Kim Hancock|BLACKB|US|FP|PO Box 730759 TX 75373-0759Dallas
5004953991|1000119663|NOVITEX ENTERPRISE SOLUTIONS INC|UNITED STATES|Not Applicable|5004953991|Yes|N/A|SHIPPING AND MAIL DELIVERY|NA as not GDPR Relevent|Open|10/24/2016|10/23/2017|GTS IS|Joe Griffin|BP/AMOCO CORP|US|FP|PO Box 845801TX75284-5801DALLAS
5005130985|1000119663|NOVITEX ENTERPRISE SOLUTIONS INC|UNITED STATES|Not Applicable|5005130985|Yes|N/A|SHIPPING AND MAIL DELIVERY|NA as not GDPR Relevent|Open|10/28/2017|10/27/2018|GTS IS|Joe Griffin|BP/AMOCO CORP|US|FP|PO Box 845801TX75284-5801DALLAS
5004929960|1000390820|WAVESTRONG INC|UNITED STATES|Not Applicable|5004929960|Yes|N/A|IT CONSULTING|NA as not GDPR Relevent|Open|9/13/2016|12/31/2017|GTS IS|Joe Griffin|BP/AMOCO CORP|US|FP|5674 STONERIDGE DR STE 225CA94588-8591PLEASANTON
5005106948|1000089791|COMNET COMMUNICATIONS LLC|UNITED STATES|Not Applicable|5005106948|Yes|N/A|OEM DATA/NET-SO/OTHERS-INTERNAL ONLY|NA as not GDPR Relevent|Open|2/22/2222|2/22/2222|GTS IS|Diana Montgomery|BROADR FINA SOL|US|FP|BERKSHIRE CORPORATE PARK 9 PARKCT06801-1012BETHEL
5005106951|1000089791|COMNET COMMUNICATIONS LLC|UNITED STATES|Not Applicable|5005106951|Yes|N/A|OEM DATA/NET-SO/OTHERS-INTERNAL ONLY|NA as not GDPR Relevent|Open|2/22/2222|2/22/2222|GTS IS|Diana Montgomery|BROADR FINA SOL|US|FP|BERKSHIRE CORPORATE PARK 9 PARKCT06801-1012BETHEL
5005119771|1000089791|COMNET COMMUNICATIONS LLC|UNITED STATES|Not Applicable|5005119771|Yes|N/A|OEM DATA/NET-EXTERNAL ONLY|NA as not GDPR Relevent|Open|2/22/2222|2/22/2222|GTS IS|Diana Montgomery|BROADR FINA SOL|US|FP|BERKSHIRE CORPORATE PARK 9 PARKCT06801-1012BETHEL
5005091088|1000104836|FISHEL COMPANY|UNITED STATES|Not Applicable|5005091088|Yes|N/A|OEM DATA/NET-SO/OTHERS-INTERNAL ONLY|NA as not GDPR Relevent|Open|2/22/2222|2/22/2222|GTS IS|Diana Montgomery|BROADR FINA SOL|US|FP|DEPARTMENT L 2478OH43260-2478COLUMBUS
5005106947|1000104836|FISHEL COMPANY|UNITED STATES|Not Applicable|5005106947|Yes|N/A|OEM DATA/NET-SO/OTHERS-INTERNAL ONLY|NA as not GDPR Relevent|Open|2/22/2222|2/22/2222|GTS IS|Diana Montgomery|BROADR FINA SOL|US|FP|DEPARTMENT L 2478OH43260-2478COLUMBUS
5005120062|1000104836|FISHEL COMPANY|UNITED STATES|Not Applicable|5005120062|Yes|N/A|OEM DATA/NET-EXTERNAL ONLY|NA as not GDPR Relevent|Open|2/22/2222|2/22/2222|GTS IS|Diana Montgomery|BROADR FINA SOL|US|FP|DEPARTMENT L 2478OH43260-2478COLUMBUS
5004968207|1000067142|POMEROY IT SOLUTIONS INC|UNITED STATES|Not Applicable|5004968207|Yes|N/A|ONSITE PRODUCTION SUPPORT FOR MAINFRAME COMMAND CENTER AT CUSTOMER LOCATION|NA as not GDPR Relevent|Open|12/6/2016|12/5/2017|GTS IS|Diana Montgomery|BROADR FINA SOL|US|FP|PO Box 631049OH45263-1049CINCINNATI
5004968792|1000067142|POMEROY IT SOLUTIONS INC|UNITED STATES|Not Applicable|5004968792|Yes|N/A|ONSITE PRODUCTION SUPPORT FOR MAINFRAME COMMAND CENTER AT CUSTOMER LOCATION|NA as not GDPR Relevent|Open|12/6/2016|12/5/2017|GTS IS|Diana Montgomery|BROADR FINA SOL|US|FP|PO Box 631049OH45263-1049CINCINNATI
5004461028|1000041435|EMC CORP|UNITED STATES|Not Applicable|5004461028|Yes|N/A|STORAGE MAINTENANCE|NA as not GDPR Relevent|Open|3/1/2017|2/28/2018|GTS IS|Rick Delhais|CHRYSL GROU LLC|US|FP|176 SOUTH STMA01748-9103HOPKINTON
5005027486|1000041653|COMPUVISION SYSTEMS INC|CANADA|Not Applicable|5005027486|Yes|N/A|DESKSIDE & HANDS AND EYES SUPPORT FOR NETWORK PROJECT AND PLATFORM TOWERS|NA as not GDPR Relevent|Open|4/1/2017|12/30/2017|GTS IS|MIKE YARBOROUGH|DOW CHEM COMP|US|FP|310 CIRCLE DRIVEABT8N 7L5ST ALBERT
5005117424|1000110499|GOVERNMENT CONTRACTING SPECIALISTS|UNITED STATES|Not Applicable|5005117424|Yes|Yes GBM 165 E Church St Williamsport PA 17701|DESKSIDE & HANDS AND EYES SUPPORT FOR NETWORK PROJECT AND PLATFORM TOWERS      |Mobility Services Delivery; Managed Mobility and Workplace Support Services|Open|7/1/2017|12/30/1999|GTS IS|MIKE YARBOROUGH|DOW CHEM COMP|US|FP|519 KEISLER DR STE 201NC27518-7098CARY
5004749669|1000392210|SERVICENOW INC|CANADA|Not Applicable|5004749669|Yes|N/A|EMERGING SW AS A SVCS (SAAS)|NA as not GDPR Relevent|Open|9/30/2015|9/29/2020|GTS IS|PETROS TSONIS|DOW CHEM COMP|US|FP|4810 EASTGATE MALLCA92121-1971SAN DIEGO
5004942378|1000392210|SERVICENOW INC|CANADA|Not Applicable|5004942378|Yes|N/A|EMERGING SW AS A SVCS (SAAS)|NA as not GDPR Relevent|Open|9/30/2016|9/29/2020|GTS IS|PETROS TSONIS|DOW CHEM COMP|US|FP|4810 EASTGATE MALLCA92121-1971SAN DIEGO
5005054462|1000091929|TANGOE INC|UNITED STATES|Not Applicable|5005054462|Yes|N/A|VOICE TRANSPORT|NA as not GDPR Relevent|Open|7/31/2016|6/1/2017|GTS IS|John Mynatt|DOW CHEM COMP|US|FP|PO Box 731352TX75373-1352DALLAS
5004686677|1000429386|LENOVO GLOBAL TECHNOLOGY UNITED|UNITED STATES|Not Applicable|5004686677|Yes|N/A|SAP HANA & BWA TECHNICAL SUPPORT SERVICES.|NA as not GDPR Relevent|Open|6/1/2015|1/31/2019|GTS IS|Franklin Silva|EI PONT NEM & C|US|FP|PO Box 645506PA15264-5253PITTSBURGH
5004764116|1000429386|LENOVO GLOBAL TECHNOLOGY UNITED|UNITED STATES|Not Applicable|5004764116|Yes|N/A|SAP HANA & BWA TECHNICAL SUPPORT SERVICES.|NA as not GDPR Relevent|Open|10/26/2015|1/31/2019|GTS IS|Franklin Silva|EI PONT NEM & C|US|FP|PO Box 645506PA15264-5253PITTSBURGH
5004781672|1000429386|LENOVO GLOBAL TECHNOLOGY UNITED|UNITED STATES|Not Applicable|5004781672|Yes|N/A|SAP HANA & BWA TECHNICAL SUPPORT SERVICES.|NA as not GDPR Relevent|Open|12/1/2015|5/30/2020|GTS IS|Franklin Silva|EI PONT NEM & C|US|FP|PO Box 645506PA15264-5253PITTSBURGH
5004991460|1000091772|COMPUCOM SYSTEMS INC|UNITED STATES|Not Applicable|5004991460|Yes|N/A|LIFE CYCLE MANAGEMENT|NA as not GDPR Relevent|Open|1/30/2017|1/30/2018|GTS IS|James Barina|FLUOR|US|FP|7171 FOREST LANETX75230-2306DALLAS
5004969498|1000095565|KCI INC|UNITED STATES|Not Applicable|5004969498|Yes (?)|N/A|NETWORK MAINTENANCE|NA as not GDPR Relevent|Open|1/1/2017|12/31/2017|GTS IS||LANTHE MEDI IMA|US|FP|19 INDUSTRIAL AVENJ07430-2209MAHWAH
5004785477|1000277991|SYMANTEC CORPORATION|CANADA|Not Applicable|5004785477|Yes (?)|N/A|TECH SVS|NA as not GDPR Relevent|Open|11/24/2015|11/15/2018|GTS IS||LANTHE MEDI IMA|US|FP|555 INTERNATIONAL WAYOR97477-1098SPRINGFIELD
5004515211|1000089686|CDI CORPORATION|UNITED STATES|Not Applicable|5004515211|Yes|N/A|SR. PROJECT MANAGER/TECHNICAL RESOURCE     |Transition and Transformation (T&T)|Open|10/20/2016|12/31/2018|GTS IS|Ken Trainor|MILLERCOORS LLC|US|FP|18TH AND MARKET ST 12TH FLOORPA19102-2066PHILADELPHIA
