Procurement Vendor ID (Mandatory for 1° Tier Vendor)|Supplier Name|Country|VAT Number|PO Number (if  first tier vendor) or ICA-DOU (if IBM entity or IBM Subsidiary)|Is the PO GDPR Relevant?|Is there further sub-contracting to second or third tier vendors? If so  please provide the full names and full address of 2nd or 3rd tier vendors|Briefly describe the type of services/data processing activity performed by the Vendor|In what category is the Vendor s Service Description ? (using the categories in GSAR (Global Solution Architecture Repository))|PO Status|Start Date|End Date|Business Unit that provide the services through this vendor(free text )|Requester/Approver Name|Please identify the Customer(s) or Account(s) under the PO|NOTE|Account Name
I0534|INFO.SERVICES|INDIA|GST No : 27AAACI4403L1ZO|IG206580|Yes|N/A|Providing Resources for MWS & Service Desk support PAN INDIA on-site Locations.|MCCS-Service Desk; Workplace Support Services|Open|4/7/2017|4/8/2018|GTS|Sachin S Rane|All Customers using Services Desk and Workplace Support Services||Jet Airways
F0078|FUTURE FOCUS|INDIA|GST No : 29AAACI4403L1ZK|IG214108 AMENDMENT 001|Yes|N/A|Providing Resources for MobilitySupport for On-site Location.|Mobility Services Delivery; Managed Mobility and Workplace Support Services|Open|1/1/2018|3/31/2018|GTS|Sachin S Rane|All Customers using Mobility Services||Jet Airways
I0242|IMSI INDIA PVT LTD|INDIA|GST No : 05AABCI1797A1ZX|IG215371 AMENDMENT 001|Yes|N/A|Providing Resources for MWS & Service Desk support PAN INDIA on-site Locations.|MCCS-Service Desk; Workplace Support Services|Open|2/13/2018|2/12/2019|GTS|Sachin S Rane|All Customers using Services Desk and Workplace Support Services||Jet Airways
F0078|FUTURE FOCUS INFOTECH PVT LTD|INDIA|GST No : 29AAACI4403L1ZK|IG211499 AMENDMENT 001|Yes|N/A|Providing Resources for MobilitySupport for On-site Location.|Mobility Services Delivery; Managed Mobility and Workplace Support Services|Open|10/9/2017|10/8/2018|GTS|Sachin S Rane|All Customers using Mobility Services||Jet Airways
I0242|IMSI INDIA PVT LTD|INDIA|GST No : 05AABCI1797A1ZX|IG207563 AMENDMENT 001|Yes|N/A|Providing Resources for Data Centre Support|Distributed Middleware  Databases  Servers and Storage Management|Open|6/3/2017|6/2/2018|GTS|Rupam K Hazarika|All Customers using Distributed Services||Jet Airways
I0242|IMSI INDIA PVT LTD|INDIA|GST No : 05AABCI1797A1ZX|IG215534 AMENDMENT 001|Yes|N/A|Providing Resource for Data Centre Support|Distributed Middleware  Databases  Servers and Storage Management|Open|3/1/2018|2/28/2019|GTS|Rupam K Hazarika|All Customers using Distributed Services||Jet Airways
F0078|FUTURE FOCUS INFOTECH PVT LTD|INDIA|GST No :29AAACI4403L1ZK|IG215533 AMENDMENT 001|Yes|N/A|Providing Resources for Network Services Support|Managed Network Services|Open|2/15/2018|2/14/2019|GTS|Prakash H Chauhan|All Customers using Managed Network Services||Jet Airways
1000428076|ITMSG|KOREA|2068673522|KIA39776|Yes|N/A|EUC (End User Computing) Bigfix Deployment - Labor |MCCS-Service Desk; Workplace Support Services|Open|2018.01.01|2018.03.31|GTS||All Customers||Hanon
1000428076|ITMSG|KOREA|2068673522|KIA39777|Yes|N/A|EUC (End User Computing) Bigfix Deployment - Expense |MCCS-Service Desk; Workplace Support Services|Open|2018.01.01|2018.10.31|GTS||All Customers||Hanon
1000388434|STEFANINI|UNITED STATES|38-2774613|KIA40136|Yes|N/A|helpdesk agent service purchase from Stefanini|MCCS-Service Desk; Workplace Support Services|Open|2018.01.01|2018.03.31|GTS||All Customers||Hanon
