Procurement Vendor ID|Supplier Name |Address/Country|Service area|Is there further sub-contracting to second or third tier vendors? If so  please provide the full names and full address of 2nd or 3rd tier vendors |Please identify the Customer(s) or Account(s) under the PO  |IMT|IOT|Note
705|APTEC DISTRIBUTION FZ LLC|UNITED ARAB EMIRATES|B  -  SITE MAINTENANCE|(blank)|CLEVELAND CLINIC   LIW|GULF AND LEVANT|MEA|From Data Center team
1208|KARE BILGISAYAR ILETISIM SISTEMLERI|TURKEY|B  -  SITE MAINTENANCE|(blank)|BKM|TUR|MEA|From Data Center team
20363|EGYPT EXPRESS|EGYPT|B  -  SITE MAINTENANCE|(blank)|All Customers|EGYPT|MEA|From Data Center team
9321|HSG ZANDER GMBH|AUSTRIA|B  -  SITE MAINTENANCE|(blank)|All Customers|DACH|EUROPE|From Data Center team
9321|HSG ZANDER GMBH|AUSTRIA|B  -  SITE MAINTENANCE|(blank)|Bawag P.S.K. Bank|DACH|EUROPE|From Data Center team
9321|HSG ZANDER GMBH|AUSTRIA|B  -  SITE MAINTENANCE|(blank)|Rechenzentrum der Stad|DACH|EUROPE|From Data Center team
110|IBM Polska Sp. z o.o.|ul. Krakowiaków 32    02-255  02-255 Warszawa   Poland|Data Center Management |(blank)|All Customers|CEE|EUROPE|Approver: Bogdan Jarczak   DC Address: WARSAW - Wisniowy Business Park: Poland  MZ  02-134  Warszawa  ul. 1 Sierpnia  6
110|IBM Polska Sp. z o.o.|ul. Krakowiaków 32    02-255  02-255 Warszawa   Poland|Data Center Management |(blank)|ESERVICE SP.Z O.O.|CEE|EUROPE|Approver: Bogdan Jarczak   DC Address: BLONIE: Poland  Poland  05-870  BLONIE  UL. PASS   20B 
110|IBM Polska Sp. z o.o.|ul. Krakowiaków 32    02-255  02-255 Warszawa   Poland|Data Center Management |(blank)|NORDEA BANK AB LITHUAN|CEE|EUROPE|Approver: Bogdan Jarczak   DC Address: GDANSK: Poland  Poland  80-299  Gdansk  Nowy Swiat   40
110|IBM Polska Sp. z o.o.|ul. Krakowiaków 32    02-255  02-255 Warszawa   Poland|Data Center Management |(blank)|NORDEA BANK AB SA|CEE|EUROPE|Approver: Bogdan Jarczak   DC Address: GDYNIA: Poland  Poland  81-571  Gdynia  Chwaszczynska   133A  
295667000|GLOBAL SWITCH PROPERTY AUSTRALIA PT|AUSTRALIA|F1  -  COLOCATION  -  |(blank)|All Customers|ANZ|AP|From Data Center team
34289|OCTALLY INTEGRATION LTD|ISRAEL|B  -  SITE MAINTENANCE|(blank)|All Customers|SPGI|EUROPE|From Data Center team
91766|COLT TECHNOLOGY SERVICES CO.  LTD.|JAPAN|F1  -  COLOCATION  -  |(blank)|All Customers|JPN|JN|From Data Center team
91943|SUMITOMO REALTY & DEVELOPMENT CO. L|JAPAN|B  -  SITE MAINTENANCE|(blank)|DEUTSCHEBANKREALESTATE|JPN|JN|From Data Center team
92469|TAKUNAN SHOJI|JAPAN|G  -  ENVIRONMENTAL  -|(blank)|All Customers|JPN|JN|From Data Center team
93112|EQUINIX JAPAN K.K.|JAPAN|F1  -  COLOCATION  -  |(blank)|All Customers|JPN|JN|From Data Center team
93112|EQUINIX JAPAN K.K.|JAPAN|F1  -  COLOCATION  -  |(blank)|TMC HINSHITSUHOSHO|JPN|JN|From Data Center team
93112|EQUINIX JAPAN K.K.|JAPAN|F1  -  COLOCATION  -  |(blank)|TOYOTAINFOTECHNOLOGYCE|JPN|JN|From Data Center team
94063|KOBELCO BUSINESS SUPPORT K.K.|JAPAN|G  -  ENVIRONMENTAL  -|(blank)|All Customers|JPN|JN|From Data Center team
94283|SANKO CO. LTD|JAPAN|G  -  ENVIRONMENTAL  -|(blank)|All Customers|JPN|JN|From Data Center team
95234|FUJI ELECTRIC CO.  LTD.|JAPAN|B  -  SITE MAINTENANCE|(blank)|All Customers|JPN|JN|From Data Center team
96419|SCSK CORPORATION (EX-CSK      CORPO|JAPAN|F1  -  COLOCATION  -  |(blank)|All Customers|JPN|JN|From Data Center team
96449|ICHIKAWA KANKYO ENGINEERING    CO. |JAPAN|G  -  ENVIRONMENTAL  -|(blank)|All Customers|JPN|JN|From Data Center team
96449|ICHIKAWA KANKYO ENGINEERING    CO. |JAPAN|G  -  ENVIRONMENTAL  -|(blank)|ECOOD FTP|JPN|JN|From Data Center team
96449|ICHIKAWA KANKYO ENGINEERING    CO. |JAPAN|G  -  ENVIRONMENTAL  -|(blank)|JPSOL  OIO|JPN|JN|From Data Center team
96449|ICHIKAWA KANKYO ENGINEERING    CO. |JAPAN|G  -  ENVIRONMENTAL  -|(blank)|SHS|JPN|JN|From Data Center team
96484|JONES LANG LASALLE K.K|JAPAN|B  -  SITE MAINTENANCE|(blank)|All Customers|JPN|JN|From Data Center team
96484|JONES LANG LASALLE K.K|JAPAN|B  -  SITE MAINTENANCE|(blank)|CC|JPN|JN|From Data Center team
96484|JONES LANG LASALLE K.K|JAPAN|B  -  SITE MAINTENANCE|(blank)|CSL|JPN|JN|From Data Center team
96484|JONES LANG LASALLE K.K|JAPAN|B  -  SITE MAINTENANCE|(blank)|FACILITY CONTROL|JPN|JN|From Data Center team
96484|JONES LANG LASALLE K.K|JAPAN|B  -  SITE MAINTENANCE|(blank)|FIN COMMON DUMMY|JPN|JN|From Data Center team
96484|JONES LANG LASALLE K.K|JAPAN|B  -  SITE MAINTENANCE|(blank)|IBM DC MGMT MK|JPN|JN|From Data Center team
96484|JONES LANG LASALLE K.K|JAPAN|B  -  SITE MAINTENANCE|(blank)|IBM DC MGMT ONA|JPN|JN|From Data Center team
96484|JONES LANG LASALLE K.K|JAPAN|B  -  SITE MAINTENANCE|(blank)|IBM DC MGMT SG|JPN|JN|From Data Center team
96484|JONES LANG LASALLE K.K|JAPAN|B  -  SITE MAINTENANCE|(blank)|JACCS               DP|JPN|JN|From Data Center team
96484|JONES LANG LASALLE K.K|JAPAN|B  -  SITE MAINTENANCE|(blank)|SENDAI CIC|JPN|JN|From Data Center team
96484|JONES LANG LASALLE K.K|JAPAN|B  -  SITE MAINTENANCE|(blank)|SENDAI TC|JPN|JN|From Data Center team
96500|AT TOKYO CORPORATION|JAPAN|F1  -  COLOCATION  -  |(blank)|All Customers|JPN|JN|From Data Center team
98421|NOMURA KOHSAN CO.LTD|JAPAN|G  -  ENVIRONMENTAL  -|(blank)|All Customers|JPN|JN|From Data Center team
98893|NOMURA REAL ESTATE PARTNERS CO.  LT|JAPAN|B  -  SITE MAINTENANCE|(blank)|All Customers|JPN|JN|From Data Center team
1000002153|CBRE GWS LIMITED|UNITED KINGDOM|B  -  SITE MAINTENANCE|(blank)|All Customers|UKI|EUROPE|From Data Center team
100000506|SCHNEIDER ELECTRIC SERVICES TUNISIE|TUNISIA|B  -  SITE MAINTENANCE|(blank)|All Customers|NORTH AFRICA|MEA|From Data Center team
1000018437|APLEONA HSG ITS GMBH|GERMANY|B  -  SITE MAINTENANCE|(blank)|All Customers|DACH|EUROPE|From Data Center team
1000021084|SYNERGY|FRANCE|B  -  SITE MAINTENANCE|(blank)|All Customers|FRANCE|EUROPE|From Data Center team
1000023289|WESCO INTERGRATE SUPPLIES|UNITED STATES|B  -  SITE MAINTENANCE|(blank)|HOLDER HUNT RUS|US|US|From Data Center team
1000023715|ENGIE COFELY|FRANCE|B  -  SITE MAINTENANCE|(blank)|All Customers|FRANCE|EUROPE|From Data Center team
1000023715|ENGIE COFELY|FRANCE|B  -  SITE MAINTENANCE|(blank)|BNP PARIBAS SECURIT D3|FRANCE|EUROPE|From Data Center team
1000023715|ENGIE COFELY|FRANCE|B  -  SITE MAINTENANCE|(blank)|SOCIETE GENERALE11  D3|FRANCE|EUROPE|From Data Center team
1000024967|ACXIOM LIMITED|UNITED KINGDOM|F1  -  COLOCATION  -  |(blank)|All Customers|UKI|EUROPE|From Data Center team
1000025564|SOCOTEC FRANCE|FRANCE|B  -  SITE MAINTENANCE|(blank)|All Customers|FRANCE|EUROPE|From Data Center team
1000032476|CBRE GWS SRL|ITALY|B  -  SITE MAINTENANCE|(blank)|All Customers|ITALY|EUROPE|From Data Center team
1000036252|COFELY ESPANA SAU|SPAIN|B  -  SITE MAINTENANCE|(blank)|All Customers|SPGI|EUROPE|From Data Center team
1000056022|PROLOGIST AG|SWITZERLAND|B  -  SITE MAINTENANCE|(blank)|All Customers|DACH|EUROPE|From Data Center team
1000064867|FLUOR FACILITY & PLANT SERVICES INC|UNITED STATES|B  -  SITE MAINTENANCE|(blank)|All Customers|US|US|From Data Center team
1000073396|CBRE CORPORATE OUTSOURCING APS|DENMARK|B  -  SITE MAINTENANCE|(blank)|All Customers|NORDIC|EUROPE|From Data Center team
1000074558|CBRE GWS FINLAND OY|FINLAND|B  -  SITE MAINTENANCE|(blank)|All Customers|NORDIC|EUROPE|From Data Center team
1000074911|EQUINIX FINLAND OY|FINLAND|F1  -  COLOCATION  -  |(blank)|QVANTEL FINLAND OY DSW|NORDIC|EUROPE|From Data Center team
1000076416|CBRE CORPORATE OUTSOURCING AS|NORWAY|B  -  SITE MAINTENANCE|(blank)|All Customers|NORDIC|EUROPE|From Data Center team
1000080288|VODACOM SERVICE PROVIDER COMPANY|SOUTH AFRICA|F1  -  COLOCATION  -  |(blank)|All Customers|SOUTH AFRICA|MEA|From Data Center team
1000085663|CBRE GWS SWEDEN AB|SWEDEN|B  -  SITE MAINTENANCE|(blank)|All Customers|NORDIC|EUROPE|From Data Center team
1000090185|PYRAMID BUILDING MAINTENANCE|UNITED STATES|B  -  SITE MAINTENANCE|(blank)|All Customers|US|US|From Data Center team
1000093059|FLUOR FACILITY & PLANT SERVICES INC|UNITED STATES|B  -  SITE MAINTENANCE|(blank)|All Customers|US|US|From Data Center team
1000093781|MEDIA RECOVERY INC|UNITED STATES|G  -  ENVIRONMENTAL  -|(blank)|All Customers|US|US|From Data Center team
1000093781|MEDIA RECOVERY INC|UNITED STATES|G  -  ENVIRONMENTAL  -|(blank)|AK STEEL|US|US|From Data Center team
1000093781|MEDIA RECOVERY INC|UNITED STATES|G  -  ENVIRONMENTAL  -|(blank)|AMERIPRSE FIN|US|US|From Data Center team
1000093781|MEDIA RECOVERY INC|UNITED STATES|G  -  ENVIRONMENTAL  -|(blank)|AVIS BUDG CAR R|US|US|From Data Center team
1000093781|MEDIA RECOVERY INC|UNITED STATES|G  -  ENVIRONMENTAL  -|(blank)|EDGE|US|US|From Data Center team
1000093781|MEDIA RECOVERY INC|UNITED STATES|G  -  ENVIRONMENTAL  -|(blank)|VIEWPO ARCH SV|US|US|From Data Center team
1000094528|AT&T GLOBAL NETWORK SERVICES|NETHERLANDS|F1  -  COLOCATION  -  |(blank)|All Customers|BENELUX|EUROPE|From Data Center team
1000095646|SUNGARD AVAILABILITY SERVICES LP|UNITED STATES|F1  -  COLOCATION  -  |(blank)|All Customers|US|US|From Data Center team
1000095646|SUNGARD AVAILABILITY SERVICES LP|UNITED STATES|F1  -  COLOCATION  -  |(blank)|WPP GROU USA|US|US|From Data Center team
1000097195|NEW CENTURY SERVICES INC|UNITED STATES|B  -  SITE MAINTENANCE|(blank)|SHERATON CORP|US|US|From Data Center team
1000110499|GOVERNMENT CONTRACTING SPECIALISTS|UNITED STATES|B  -  SITE MAINTENANCE|(blank)|COL PIPE GRO SV|US|US|From Data Center team
1000112422|CBRE INC|UNITED STATES|B  -  SITE MAINTENANCE|(blank)|ST OH|US|US|From Data Center team
1000120132|VEOLIA ENVIRONMENTAL SERVICES|UNITED STATES|G  -  ENVIRONMENTAL  -|(blank)|All Customers|US|US|From Data Center team
