Procurement Vendor ID (Mandatory for 1° Tier Vendor)	Supplier Name	Country	VAT Number	Subcontractos	Is there further sub-contracting to second or third tier vendors? If so please provide the full names and full address of 2nd or 3rd tier vendors	PO Number (if  first tier vendor) or ICA-DOU (if IBM entity or IBM Subsidiary)	Family code	PO/BSAP/ICA/DOU full description	Briefly describe the type of services/data processing activity performed by the Vendor	Service Caegory was identified (Y/N)	In what category is the Vendor s Service Description ? (using the categories in GSAR (Global Solution Architecture Repository))	PO Status	Start Date	End Date	PO/ICA Amount  (not mandatory - free text)	Business Unit that provide the services through this vendor (free text )	Requester/Approver Name	Customer identified	Please identify the Customer(s) or Account(s) under the PO	NOTE	Is the PO GDPR Relevant?	Market	Market note	Action Owner	Data Input Completed? Yes/No/Partial.	Next Person to chase		Should the PO be closed immediately? Yes or No.
1000169212	CGI SVERIGE AB	SWEDEN	SE556337219101	N/A	N/A	4603137059	N	N  -  TECH SUBCON  -  SUBCON UNIQUE SKILL T&M  -  TM T2CQRQ LIS-MARIE WIKLUND 21 SEP 2015	Resources - hours	No	Select….	OPEN	2/22/2222	2/22/2222	N/A	GTS INFRA SVCS	CATRIN HALLERSTRO        M-LIN	Yes	F@RSVARSMAKTEN 1034	IGS Project Number: 467BC50	Yes	Nordic	Lars Stenholt	Catrin Hallerstrom-Linde	Yes		checked ok	Yes
1000169212	CGI SVERIGE AB	SWEDEN	SE556337219101	N/A	N/A	4603177736	N	N  -  TECH SUBCON  -  SUBCON UNIQUE SKILL T&M  -  TM T2BW9Q JENS KALLSTR\M 01 JAN 2015 30		No	Select….	OPEN	1/1/2015	9/30/2015	N/A	GTS INFRA SVCS	TOMMY OHLUND	Yes	F@RSVARSMAKTEN 1034	IGS Project Number: 467BC50 Tommy Ohlund: The contracts that my name is on have been closed since 2015-10-15. If any questions please contact Catrin Hallerström Linde who is still working with the customer.	Yes	Nordic	Lars Stenholt	TOMMY OHLUND	Partial		checked ok	Yes
1000169212	CGI SVERIGE AB	SWEDEN	SE556337219101	N/A	N/A	4603177748	N	N  -  TECH SUBCON  -  SUBCON UNIQUE SKILL T&M  -  TM T2BW9V TOMMY FR\SSMAN 01 JAN 2015 30		No	Select….	OPEN	1/1/2015	9/30/2015	N/A	GTS INFRA SVCS	TOMMY OHLUND	Yes	F@RSVARSMAKTEN 1034	IGS Project Number: 467BB7A Tommy Ohlund: The contracts that my name is on have been closed since 2015-10-15. If any questions please contact Catrin Hallerström Linde who is still working with the customer.	Yes	Nordic	Lars Stenholt	TOMMY OHLUND	Partial		checked ok	Yes
1000169212	CGI SVERIGE AB	SWEDEN	SE556337219101	N/A	N/A	4603177768	N	N  -  TECH SUBCON  -  SUBCON UNIQUE SKILL T&M  -  TM T2BW9L SAMI PASMA 01 JAN 2015 30 SEP		No	Select….	Closed	1/1/2015	9/30/2015	N/A	GTS INFRA SVCS	STEFAN HARLEN	Yes	F@RSVARSMAKTEN 1034	IGS Project Number: 467BC5E	Yes	Nordic	Lars Stenholt	STEFAN HARLEN	Yes		checked ok	Yes
1000169212	CGI SVERIGE AB	SWEDEN	SE556337219101	N/A	N/A	4603177779	N	N  -  TECH SUBCON  -  SUBCON UNIQUE SKILL T&M  -  TM T2CNHP SAMI PASMA 01 OCT 2015 30 JUN	Resources - hours	No	Select….	OPEN	10/1/2015	6/30/2016	N/A	GTS INFRA SVCS	CATRIN HALLERSTRO        M-LIN	Yes	F@RSVARSMAKTEN 1034	IGS Project Number: 467BC52	Yes	Nordic	Lars Stenholt	Catrin Hallerstrom-Linde	Yes		checked ok	Yes
1000169212	CGI SVERIGE AB	SWEDEN	SE556337219101	N/A	N/A	4603177873	N	N  -  TECH SUBCON  -  SUBCON UNIQUE SKILL T&M  -  TM T2CNHF TOMMY FR\SSMAN 01 OCT 2015 30	Resources - hours	No	Select….	OPEN	10/1/2015	6/30/2016	N/A	GTS INFRA SVCS	CATRIN HALLERSTRO        M-LIN	Yes	F@RSVARSMAKTEN 1034	IGS Project Number: 467BC50	Yes	Nordic	Lars Stenholt	Catrin Hallerstrom-Linde	Yes		checked ok	Yes
1000169212	CGI SVERIGE AB	SWEDEN	SE556337219101	N/A	N/A	4603177891	N	N  -  TECH SUBCON  -  SUBCON UNIQUE SKILL T&M  -  TM T2CNHK JENS KALLSTR\M 01 OCT 2015 30	Resources - hours	No	Select….	OPEN	10/1/2015	6/30/2016	N/A	GTS INFRA SVCS	CATRIN HALLERSTRO        M-LIN	Yes	F@RSVARSMAKTEN 1034	IGS Project Number: 467BC50	Yes	Nordic	Lars Stenholt	Catrin Hallerstrom-Linde	Yes		checked ok	Yes
1000206011	EXPERIS AS	NORWAY	982683955	No	N/A	4603134290	N	N  -  TECH SUBCON  -  SUBCON UNIQUE SKILL T&M  -  TM RENEWAL RENEWAL 01 SEP 2015 31 DEC 20	Resources - hours	No	Select….	OPEN	2/22/2222	2/22/2222	N/A	GTS INFRA SVCS	BENT RODEM	Yes	FLO IKT	IGS Project Number: 067A0EA	Yes	Nordic	Lars Stenholt	BENT RODEM	Partial		checked ok	Yes
1000437171	EXPERIS AB	SWEDEN	SE556855110401	N/A	N/A	4603139075	N	N  -  TECH SUBCON  -  SUBCON UNIQUE SKILL T&M  -  TM NICKLAS AF EKENSTAM 01 SEP 2015 31 DE		No	Select….	Closed	2/22/2222	2/22/2222	N/A	GTS INFRA SVCS	STEFAN HARLEN	Yes	STOCKHOLMS LäNS LAND	IGS Project Number: 467BCVK	Yes	Nordic	Lars Stenholt	STEFAN HARLEN	Yes		checked ok	Yes
1000437171	EXPERIS AB	SWEDEN	SE556855110401	N/A	N/A	4603139079	N	N  -  TECH SUBCON  -  SUBCON UNIQUE SKILL T&M  -  TM JENS HEIDLING 01 SEP 2015 31 DEC 2015		No	Select….	Closed	2/22/2222	2/22/2222	N/A	GTS INFRA SVCS	STEFAN HARLEN	Yes	STOCKHOLMS LäNS LAND	IGS Project Number: 467BCWX	Yes	Nordic	Lars Stenholt	STEFAN HARLEN	Yes		checked ok	Yes
