Procurement Vendor ID (Mandatory for 1° Tier Vendor)|Supplier Name|Address/Country|VAT Number|PO Number (if  first tier vendor) or ICA-DOU (if IBM entity or IBM Subsidiary)|Is the PO GDPR Relevant?|Is there further sub-contracting to second or third tier vendors? If so  please provide the full names and full address of 2nd or 3rd tier vendors|Briefly describe the type of services/data processing activity performed by the Vendor|In what category is the Vendor s Service Description ? (using the categories in GSAR (Global Solution Architecture Repository))|PO Status|Start Date|End Date|Business Unit that provide the services through this vendor (free text )|Requester/Approver Name|Please identify the Customer(s) or Account(s) under the PO|NOTE|Account WBS Level 2|Customer Contract Number|Country|Account|Final RA|DPE Contact|PO amount (USD)|COMGROUP_CD|MATLGRP_ID|COMGROUP_CD-DISCRIPTION|MATLGRP_ID-DISCRIPTION
1000435159|SHANGHAI EXCELEVER INFORMATION|CHINA||4620192005|Yes|N/A|OEM DATA/NET-SO / OTHERS-INT|Managed Network Services|Open|2/22/2222|2/22/2222||XIN HAI LI|FCA (FCA Asia Pacific Investment Co.  Ltd)||C245F3004|8300108312|CN|FCA (FCA Asia Pacific Investment Co.  Ltd)|Moderate|Ming YD Guan/China/IBM|1034431.36|H4|Y63|Network Cabling and Installation  Networking Equipment (Routers  Switches  Hubs  Modems  Wireless Networking Equipment)  Voice & Telephony Equipment (PBX  ACD  Sets  Adjunct Equipment)  Uninterruptable Power Supplies <10kVA and related services (PDP  installation  MAC/IMAC  Maintenance  Help Desk and End-User Support).|OEM DATA/NET-SO / OTHERS-INT
1000435159|SHANGHAI EXCELEVER INFORMATION|CHINA||4620192008|Yes|N/A|OEM DATA/NET-SO / OTHERS-INT|Managed Network Services|Open|2/22/2222|2/22/2222||XIN HAI LI|FCA (FCA Asia Pacific Investment Co.  Ltd)||C245F3004|8300108312|CN|FCA (FCA Asia Pacific Investment Co.  Ltd)|Moderate|Ming YD Guan/China/IBM|368227.78|H4|Y63|Network Cabling and Installation  Networking Equipment (Routers  Switches  Hubs  Modems  Wireless Networking Equipment)  Voice & Telephony Equipment (PBX  ACD  Sets  Adjunct Equipment)  Uninterruptable Power Supplies <10kVA and related services (PDP  installation  MAC/IMAC  Maintenance  Help Desk and End-User Support).|OEM DATA/NET-SO / OTHERS-INT
1000396852|TRANSNATIONAL DISTRIBUTION MNGT|CHINA||4620218981|Yes|N/A|GEODIS-TAPE MEDIA RETENTION|Infrastructure and Resiliency; Disaster Recovery and Resiliency Services|Open|9/28/2016|12/10/2020||XIN HAI LI|FCA (FCA Asia Pacific Investment Co.  Ltd)||C245F3004|8300108312|CN|FCA (FCA Asia Pacific Investment Co.  Ltd)|Moderate|Ming YD Guan/China/IBM|135.32|W|G15|Payments and costs associated with logistics services.|GEODIS-TAPE MEDIA RETENTION
1000413679|ISOFTSTONE TECHNOLOGY SERVICE|CHINA||4620265040|Yes|N/A|Network operation|Managed Network Services|Open|2/5/2018|2/4/2019||XIAO RU LX XU|FCA (FCA Asia Pacific Investment Co.  Ltd)||C245F3004|8300108312|CN|FCA (FCA Asia Pacific Investment Co.  Ltd)|Moderate|Ming YD Guan/China/IBM|82082.72|N|T95/U91|All technical  PROFESSIONAL  services performed by a contractor to satisfy current and future business requirements.  This includes all contract programmers and engineering/design consultants.|SUBC TRAVEL&MISC、SUBCON -PROGRAMMING T&M
1000442936|WESTCON SOLUTIONS CHINA|CHINA||4620256548|Yes|N/A|NETWORK MAINTENANCE|Managed Network Services|Open|11/20/2017|11/14/2018||XIN HAI LI|FCA (FCA Asia Pacific Investment Co.  Ltd)||C245F3009|8300108312|CN|FCA (FCA Asia Pacific Investment Co.  Ltd)|Moderate|Ming YD Guan/China/IBM|1127.29|H4|E04|Network Cabling and Installation  Networking Equipment (Routers  Switches  Hubs  Modems  Wireless Networking Equipment)  Voice & Telephony Equipment (PBX  ACD  Sets  Adjunct Equipment)  Uninterruptable Power Supplies <10kVA and related services (PDP  installation  MAC/IMAC  Maintenance  Help Desk and End-User Support).|NETWORK MAINTENANCE
1000385583|KINGS CONSULTING SERVICES LIMITED|HONG KONG||P675F201|Yes|N/A|Man power service  no data processing activity performed by the Vendor|refer to column H|Open|9/4/2017|9/3/2018||HKSOPA@HK1.IBM.COM|China CITIC Bank International Limited||HKCQTCO|1440092|HK|China CITIC Bank International Limited|High|Thomas KS Lau/Hong Kong/IBM|96630.71|N|T36|All technical  PROFESSIONAL  services performed by a contractor to satisfy current and future business requirements.  This includes all contract programmers and engineering/design consultants.|OTHER FP SPEND CATEGORIES
1000396466|HONG KONG TELECOMMUNICATIONS HKT LIMITED|HONG KONG||P68CGF01|Yes|N/A|One call nubmer service  no data processing activity performed by the Vendor|refer to column H|Open|12/1/2017|11/30/2018||HKSOPA@HK1.IBM.COM|China CITIC Bank International Limited||HKCQTCO|1440092|HK|China CITIC Bank International Limited|High|Thomas KS Lau/Hong Kong/IBM|104.45|H3|T57|Includes Wireless (mobile phones  pagers  data wireless and satellites) and wireline (domestic carrier voice and data services  international carrier services  audio conferencing  video conferencing and calling cards).|This is for the usage of both long distance and local carriers cost associated with Toll Free services and 800/888 services.
1000439888|GUARDFORCE LIMITED|HONG KONG||P68HV201|Yes|N/A|Courier service  no data processing activity performed by the Vendor|refer to column H|Open|1/1/2018|12/31/2018||HKSOPA@HK1.IBM.COM|China CITIC Bank International Limited||HKCQTCO|1440092|HK|China CITIC Bank International Limited|High|Thomas KS Lau/Hong Kong/IBM|8692.13|W|W22|Payments and costs associated with logistics services.|TAPE MEDIA RETENTION
1000385583|KINGS CONSULTING SERVICES LIMITED|HONG KONG||P66NWF01|Yes|Nexify|DB and Cognos One time and ongoing Token support|Distributed Middleware  Databases  Servers and Storage Management|Open|8/1/2017|7/31/2018||HKSOPA@HK1.IBM.COM|Cathay Pacific Airways Limited PaaS||HKCQWAE|1710023|HK|Cathay Pacific Airways Limited PaaS|High|Ernest KC Tse/Hong Kong/IBM@IBMHK|185637.16|N|T36|All technical  PROFESSIONAL  services performed by a contractor to satisfy current and future business requirements.  This includes all contract programmers and engineering/design consultants.|OTHER FP SPEND CATEGORIES
1000385583|KINGS CONSULTING SERVICES LIMITED|HONG KONG||P66NW401|Yes|N/A|MB  LLB  WAS technical support (Token basis)|Distributed Middleware  Databases  Servers and Storage Management|Open|8/1/2017|7/31/2018||HKSOPA@HK1.IBM.COM|Cathay Pacific Airways Limited PaaS||HKCQWAG|1710023|HK|Cathay Pacific Airways Limited PaaS|High|Ernest KC Tse/Hong Kong/IBM@IBMHK|3281.51|N|T36|All technical  PROFESSIONAL  services performed by a contractor to satisfy current and future business requirements.  This includes all contract programmers and engineering/design consultants.|OTHER FP SPEND CATEGORIES
1000385583|KINGS CONSULTING SERVICES LIMITED|HONG KONG||P66NWF01|Yes|Nexify|Oracle and Cognos Support|Distributed Middleware  Databases  Servers and Storage Management|Open|8/1/2017|7/31/2018||HKSOPA@HK1.IBM.COM|Cathay Pacific Airways Limited PaaS||HKCQWAG|1710023|HK|Cathay Pacific Airways Limited PaaS|High|Ernest KC Tse/Hong Kong/IBM@IBMHK|185637.16|N|T36|All technical  PROFESSIONAL  services performed by a contractor to satisfy current and future business requirements.  This includes all contract programmers and engineering/design consultants.|OTHER FP SPEND CATEGORIES
1000385583|KINGS CONSULTING SERVICES LIMITED|HONG KONG||P66SCS01|Yes|N/A|Technical support for Trend Micro  Bigfix  IIS|Distributed Middleware  Databases  Servers||||||LSH Auto UK Limited|||1610091B|HK|LSH Auto UK Limited|High|Amy OY Wong/Hong Kong/IBM|||||
|IBM Solution and Services (Shenzhen) Co.  Ltd.|10F  GuoRen Building  No.5  3 Gaoxin Rd. C.  Hi-Tech Industrial Park  NanShan District  ShenZhen  China(518057)|||Yes|N/A|Help Desk service|Help Desk Services|Open|||||LSH Auto UK Limited|||1610091B|HK|LSH Auto UK Limited|High|Amy OY Wong/Hong Kong/IBM|||||
|IMI India|INDIA|||Yes|N/A|Wintel server platform support  SQL DB support  SDM  ID admin  Security  Backup and Recovery  Network service  Maximo support|Distributed Middleware  Databases  Servers and Storage Management; Managed Network Services|Open|||||LSH Auto UK Limited|||1610091B|HK|LSH Auto UK Limited|High|Amy OY Wong/Hong Kong/IBM|||||
|IBM UK|United Kindom|||Yes|N/A|PE  SDM  Deskside Support service (delivered by IBM UK Deskside support service provider - Hemmersbach) and HW MA from Lenovo|Service Management; Deskside Support Service|Open|||||LSH Auto UK Limited|||1610091B|HK|LSH Auto UK Limited|High|Amy OY Wong/Hong Kong/IBM|||||
|Softlayer (Bluemix) |#N/A|||Yes|N/A|Provide Bluemix infrastructure in Bluemix Data Center in London|BlueMix Infrastructure|Open|||||LSH Auto UK Limited|||1610091B|HK|LSH Auto UK Limited|High|Amy OY Wong/Hong Kong/IBM|||||
A00308|AT AND T G|HONG KONG||P5Z66401|Yes|ATT vendors(including Expereo  local PTTs )|10th site setup and ongoing (PCR)|Managed Network Services|Open|6/10/2016|6/9/2019|ITS Managed Service|NGECT@HK1.IBM.COM|LSH Auto UK Limited||HKCQVG8|1610091B|HK|LSH Auto UK Limited|High|Amy OY Wong/Hong Kong/IBM|19253.99|H3|Y65|Includes Wireless (mobile phones  pagers  data wireless and satellites) and wireline (domestic carrier voice and data services  international carrier services  audio conferencing  video conferencing and calling cards).|GO TO MARKET /NEW CUSTOMER-AT&T ONLY
1000118849|AT & T GLO|HONG KONG||HII000046|Yes|ATT vendors(including Expereo  local PTTs )|Network WAN and LAN services under master contract in UK (One time and ongoing service)|Managed Network Services|Open|6/10/2016|6/9/2019|ITS Managed Service|AVORYL@HK1.IBM.COM|LSH Auto UK Limited||HKCQVGR|1610091B|HK|LSH Auto UK Limited|High|Amy OY Wong/Hong Kong/IBM|1598514.98|H3|Y65|Includes Wireless (mobile phones  pagers  data wireless and satellites) and wireline (domestic carrier voice and data services  international carrier services  audio conferencing  video conferencing and calling cards).|GO TO MARKET /NEW CUSTOMER-AT&T ONLY
