<<<<<<< HEAD
Procurement Reference (Mandatory for Third Party - 1° Tier Vendor)  or IBM identification Nbr.	Entity Name (IBM or Third Party vendor)	Address/country	Is there further sub-contracting to second or third tier vendors? If so  please provide the full names and full address of 2nd or 3rd tier vendors	Offering ID (level 30)	Offering ID (level 40)	In what category is the Vendor s Service Description ? (using the categories in GSAR (Global Solution Architecture Repository))	On boarding	Off-Boarding	Offering Owner	Assesment Owner	NOTE
1000446633	1E INC	UNITED STATES	N/A	6941-95D	6948-57A / 6943-09H (O)	Mobility Services Delivery; Managed Mobility and Workplace Support Services			Nikhil Singh	Gene Morita	Win10 Migration
1000446633	1E INC	UNITED STATES	N/A	6950-17W	6948-57A / 6943-09H (O)	Mobility Services Delivery; Managed Mobility and Workplace Support Services			Nikhil Singh	Gene Morita	Win10 Migration
1000446633	1E INC	UNITED STATES	N/A	6950-99H	6948-57A / 6943-09H (O)	Mobility Services Delivery; Managed Mobility and Workplace Support Services			Nikhil Singh	Gene Morita	
1000404917	AIRWATCH LLC	UNITED STATES	N/A	6941-94L	6948-90S  6943-90S   6948-46J  6943-09F	Mobility Services Delivery; Managed Mobility and Workplace Support Services			Rahul Pathak	Aurelien Chatiliez	
1000404917	AIRWATCH LLC	UNITED STATES	N/A	6941-95D	6948-57A / 6943-09H (O)	Mobility Services Delivery; Managed Mobility and Workplace Support Services			Nikhil Singh	Gene Morita	
1000404917	AIRWATCH LLC	UNITED STATES	N/A	6950-15R	6948-90S  6943-90S   6948-46J  6943-09F	Mobility Services Delivery; Managed Mobility and Workplace Support Services			Rahul Pathak	Aurelien Chatiliez	
1000404917	AIRWATCH LLC	UNITED STATES	N/A	6950-99H	6948-57A / 6943-09H (O)	Mobility Services Delivery; Managed Mobility and Workplace Support Services			Nikhil Singh	Gene Morita	
Akami058	Akam Mexico Technologies S De Rl De Cv	MEXICO	N/A	6941-03J	N/A	Managed Services and Support	1/1/2006		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
Akami003	Akam Mexico Technologies S De Rl De Cv	MEXICO	N/A	6950-99H	N/A	Managed Services and Support	1/1/2006		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
4917009415 IBM Norway	Akamai Technologies AB	SWEDEN	N/A	6950-99H	N/A	Managed Services and Support	5/12/2017		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
