Procurement Vendor ID (Mandatory for 1° Tier Vendor)|Supplier Name|Country|VAT Number|PO Number (if  first tier vendor) or ICA-DOU (if IBM entity or IBM Subsidiary)|Is the PO GDPR Relevant?|Is there further sub-contracting to second or third tier vendors? If so  please provide the full names and full address of 2nd or 3rd tier vendors|Briefly describe the type of services/data processing activity performed by the Vendor|In what category is the Vendor s Service Description ? (using the categories in GSAR (Global Solution Architecture Repository))|PO Status|Start Date|End Date|Business Unit that provide the services through this vendor (free text )|Requester/Approver Name|Please identify the Customer(s) or Account(s) under the PO|NOTE
090126|IIJ Global Solutions Inc.|JAPAN|||Yes|N/A||||||IS||All Customers|multiple customers
090160|TEXENG SOLUTIONS CORPORATION|JAPAN|||Yes|N/A||||||IS||All Customers|multiple customers
090283|VSN Inc.|JAPAN|||Yes|N/A||||||IS||All Customers|multiple customers
090393|Micro Focus Enterprise Ltd|JAPAN|||Yes|N/A||||||IS||All Customers|multiple customers
090503|TDmobile|JAPAN|||Yes|N/A||||||IS||All Customers|multiple customers
090526|KDDI CORPORATION|JAPAN|||Yes|N/A||||||IS||All Customers|multiple customers
090659|TDI System Service Co. LTD.|JAPAN|||Yes|N/A||||||IS||All Customers|multiple customers
090764|CHIBAGIN COMPUTER SERVICE CO. LTD.|JAPAN|||Yes|N/A||||||IS||All Customers|multiple customers
090941|DTS WEST CORPORATION|JAPAN|||Yes|N/A||||||IS||All Customers|multiple customers
091346|MIRAIT Information Systems Co.  Ltd.|JAPAN|||Yes|N/A||||||IS||All Customers|multiple customers
091356|Marubeni OKI Network SolutionsInc.|JAPAN|||Yes|N/A||||||IS||All Customers|multiple customers
091534|OKINAWA Hi-Think Corporation|JAPAN|||Yes|N/A||||||IS||All Customers|multiple customers
091644|ZEAL CORPORATION|JAPAN|||Yes|N/A||||||IS||All Customers|multiple customers
091651|GEODIS JAPAN Co.  Ltd.|JAPAN|||Yes|N/A||||||IS||All Customers|multiple customers
092002|TEAMSTUDIO JAPAN K.K.|JAPAN|||Yes|N/A||||||IS||All Customers|multiple customers
092012|Net One Partners Co.  Ltd.|JAPAN|||Yes|N/A||||||IS||All Customers|multiple customers
092424|Sumitomo Mitsui Trust Panasonic Finance Co.  Ltd.|JAPAN|||Yes|N/A||||||IS||All Customers|multiple customers
092495|Veritas Technologies (Japan) LLC|JAPAN|||Yes|N/A||||||IS||All Customers|multiple customers
092497|Dimension Data Japan Inc|JAPAN|||Yes|N/A||||||IS||All Customers|multiple customers
092515|GXS Co. Ltd.|JAPAN|||Yes|N/A||||||IS||All Customers|multiple customers
092558|Macnica Networks Corp.|JAPAN|||Yes|N/A||||||IS||All Customers|multiple customers
092662|Infinity Communication K.K.|JAPAN|||Yes|N/A||||||IS||All Customers|multiple customers
092968|NTT Com Solutions Corporation|JAPAN|||Yes|N/A||||||IS||All Customers|multiple customers
092969|NTT COMMUNICATIONS CORPORATION|JAPAN|||Yes|N/A||||||IS||All Customers|multiple customers
093205|Lenovo Enterprise Solutions Ltd.|JAPAN|||Yes|N/A||||||IS||All Customers|multiple customers
093708|Neotex.Co.Ltd|JAPAN|||Yes|N/A||||||IS||All Customers|multiple customers
