ID|IBM CIC Name|IBM CIC full address|Country|Is Your CIC delivering this service YES / NO|IBM Entity Name or 3rd Party Vendor name|Is there further sub-contracting to second or third tier vendors? If so  please provide the full names and full address of 2nd or 3rd tier vendors|Service Area|GSO|Service Area Contact Owner|Assesment Owner|NOTE
IBM Local CIC - France|IBM Services Center France|Parc Technologique EuraTechnologies - Bât. EuraTechnopolys - 59160 - LOMME|France|y|No|N/A|System Operations - Distributed|Compute|Antoine Bruman|Antoine Bruman|
IBM Local CIC - France|IBM Services Center France|Parc Technologique EuraTechnologies - Bât. EuraTechnopolys - 59160 - LOMME|France|y|No|N/A|Distributed Middleware|Compute|Antoine Bruman|Antoine Bruman|
IBM Local CIC - France|IBM Services Center France|Parc Technologique EuraTechnologies - Bât. EuraTechnopolys - 59160 - LOMME|France|y|No|N/A|Distributed Storage Services|Resiliency and Storage Services|Antoine Bruman|Antoine Bruman|
IBM Local CIC - France|IBM Services Center France|Parc Technologique EuraTechnologies - Bât. EuraTechnopolys - 59160 - LOMME|France|y|No|N/A|Mainframe Platform|Mainframe Services|Antoine Bruman|Antoine Bruman|
IBM Local CIC - France|IBM Services Center France|Parc Technologique EuraTechnologies - Bât. EuraTechnopolys - 59160 - LOMME|France|y|No|N/A|Network Solution Introduction Service|Network Services|Antoine Bruman|Antoine Bruman|
IBM Local CIC - France|IBM Services Center France|Parc Technologique EuraTechnologies - Bât. EuraTechnopolys - 59160 - LOMME|France|y|No|N/A|Service Portfolio Architect|Hybrid Services Management|Antoine Bruman|Antoine Bruman|
IBM Local CIC - France|IBM Services Center France|Parc Technologique EuraTechnologies - Bât. EuraTechnopolys - 59160 - LOMME|France|y|No|N/A|Distribute Platform Support|Hybrid Services Management|Antoine Bruman|Antoine Bruman|
IBM Local CIC - France|IBM Services Center France|Parc Technologique EuraTechnologies - Bât. EuraTechnopolys - 59160 - LOMME|France|y|No|N/A|Hybrid Services Technology|Hybrid Services Management|Antoine Bruman|Antoine Bruman|
IBM Local CIC - France|IBM Services Center France|Parc Technologique EuraTechnologies - Bât. EuraTechnopolys - 59160 - LOMME|France|Y|No|N/A|Service Portfolio Manager|Hybrid Services Management|Antoine Bruman|Antoine Bruman|
IBM Local CIC - France|IBM Services Center France|Parc Technologique EuraTechnologies - Bât. EuraTechnopolys - 59160 - LOMME|France|y|No|N/A|Integrate Services Management|Hybrid Services Management|Antoine Bruman|Antoine Bruman|
IBM Local CIC - Italy|IBM Client Innovation Center Milano S.r.l.|via Lombardia 2/A - 20068 - Peschiera Borromeo|Italy|Yes|No|N/A|Account Delivery Management|Account Delivery Management|Walter Bosia|Walter Bosia|
IBM Local CIC - Italy|IBM Client Innovation Center Milano S.r.l.|via Lombardia 2/A - 20068 - Peschiera Borromeo|Italy|Yes|No|N/A|Distributed - Project|Compute Services|Walter Bosia|Walter Bosia|
IBM Local CIC - Italy|IBM Client Innovation Center Milano S.r.l.|via Lombardia 2/A - 20068 - Peschiera Borromeo|Italy|Yes|No|N/A|Network Communication Services|Network Services Delivery|Walter Bosia|Walter Bosia|
IBM Local CIC - Italy|IBM Client Innovation Center Milano S.r.l.|via Lombardia 2/A - 20068 - Peschiera Borromeo|Italy|Yes|No|N/A|RFS Delivery|RFS Delivery|Walter Bosia|Walter Bosia|
IBM Local CIC - Turkey|Seri Bilgi Teknolojileri Destek Hizmetleri ve Ticaret Limited &#350;irketi|Saray Mahallesi  Ömer Faruk Atakan cad  - 34696 - Üsküdar  Istanbul|Turkey|Yes|No|Seri Bilgi Teknolojileri Destek Hizmetleri ve Ticaret Limited Sirketi - Saray Mahallesi  Ömer Faruk Atakan cad  No. 3  34696  -   Turkey|WSS-Deskside|Digital Workplace Services|Dataasist Vizyon|Berke Butev|
IBM Local CIC - Turkey|Seri Bilgi Teknolojileri Destek Hizmetleri ve Ticaret Limited &#350;irketi|Saray Mahallesi  Ömer Faruk Atakan cad  - 34696 - Üsküdar  Istanbul|Turkey|Yes|No|Seri Bilgi Teknolojileri Destek Hizmetleri ve Ticaret Limited Sirketi - Saray Mahallesi  Ömer Faruk Atakan cad  No. 3  34696  -   Turkey|WSS-Service Desk|Digital Workplace Services|SERI|Berke Butev|
IBM Local CIC - Turkey|Seri Bilgi Teknolojileri Destek Hizmetleri ve Ticaret Limited &#350;irketi|Saray Mahallesi  Ömer Faruk Atakan cad  - 34696 - Üsküdar  Istanbul|Turkey|Yes|No|Seri Bilgi Teknolojileri Destek Hizmetleri ve Ticaret Limited Sirketi - Saray Mahallesi  Ömer Faruk Atakan cad  No. 3  34696  -   Turkey|Workplace Modernization Services|Digital Workplace Services|Destek|Berke Butev|
