Procurement Vendor ID (Mandatory for 1° Tier Vendor)	Supplier Name	Full Supplier Address	VAT Number	PO Number (if  first tier vendor) or ICA-DOU (if IBM entity or IBM Subsidiary)	Is the PO GDPR Relevant?	Is there further sub-contracting to second or third tier vendors? If so  please provide the full names and full address of 2nd or 3rd tier vendors	Briefly describe the type of services/data processing activity performed by the Vendor	In what category is the Vendor s Service Description ? (using the categories in GSAR (Global Solution Architecture Repository))	PO Status
1000248494	ADVA OPTICAL NETWORKING SE	FRAUNHOFERSTRASSE 9A	DE175446349	DIC8062	Yes	N/A	MAINTENANCE SUPPORT ADVA		Open
27	UNITED COM	PO BOX 111033	100009466200003	DIC8055	Yes	N/A	MAINTENANCE OF IBM HW AND SW INCLUDING		Closed
1000248494	ADVA OPTIC	FRAUNHOFERSTRASSE 9A	DE175446349	DIC8460	No	N/A	HARDWARE (INCL. NE-SW  RTUS)		Closed
27	UNITED COMPUTER AND MANAGEMENT CONS	PO BOX 111031	VAT NA (2016/17)	DIC7415	No	N/A	MAINTENANCE OF IBM HARDWARE AND SOFTWARE		Cancelled
27	UNITED COMPUTER AND MANAGEMENT CONS	PO BOX 111031	VAT NA (2016/17)	DIC7575	No	N/A	GDPS FIXED SCOPE SERVICES CHARGES FOR 6		Open
27	UNITED COMPUTER AND MANAGEMENT CONS	PO BOX 111031	VAT NA (2016/17)	DIC7575	No	N/A	Z O/S FIXED SCOPE SERVICES CHARGES FOR 6		Open
27	UNITED COMPUTER AND MANAGEMENT CONS	PO BOX 111031	VAT NA (2016/17)	DIC7672	No	N/A	Z O/S FIXED SCOPE SERVICES CHARGES FOR 6		Open
1000248494	ADVA OPTICAL NETWORKING SE	FRAUNHOFERSTRASSE 9A	VAT NA (2016/17)	DIC7583	No	N/A	CIP DUBAI AIRPORT		Closed
1000248494	ADVA OPTICAL NETWORKING SE	FRAUNHOFERSTRASSE 9A	VAT NA (2016/17)	DIC7583	No	N/A	ADVA-BOM		Closed
1000248494	ADVA OPTICAL NETWORKING SE	FRAUNHOFERSTRASSE 9A	VAT NA (2016/17)	DIC7583	No	N/A	SPARES		Closed
1000248494	ADVA OPTICAL NETWORKING SE	FRAUNHOFERSTRASSE 9A	VAT NA (2016/17)	DIC8197	No	N/A	HARDWARE  SPARES & NETWORK MANAGEMENT		Open
1000248494	ADVA OPTICAL NETWORKING SE	FRAUNHOFERSTRASSE 9A	VAT NA (2016/17)	DIC7583	No	N/A	SERVICE BUILD - INSTALLATION		Closed
1000248494	ADVA OPTICAL NETWORKING SE	FRAUNHOFERSTRASSE 9A	VAT NA (2016/17)	DIC7583	No	N/A	SERVICE CARE - MAINTENANCE		Closed
27	UNITED COMPUTER AND MANAGEMENT CONS	PO BOX 111031	VAT NA (2016/17)	DIC8044	No	N/A	Z O/S FIXED SCOPE SERVICES CHARGES FOR 6		Open
27	UNITED COMPUTER AND MANAGEMENT CONS	PO BOX 111031	VAT NA (2016/17)	DIC8052	No	N/A	ADDONS TOOL: ENHANCING DFSMSRMM		Open
27	UNITED COMPUTER AND MANAGEMENT CONS	PO BOX 111031	VAT NA (2016/17)	DIC8052	No	N/A	SUPPORT SERVICES   MARCH 2017   DEVPLEX		Open
1000409263	ALPHA DATA	PO BOX 8829	100218155800003	DIC8497	Yes	N/A	EMIRATES WALL TO WALL INVENTORY SERVICES		Open
1000444949	WOMBAT SEC	data not available	no data available	DIC8589	Yes	N/A	THREATSIM SIMULATED PHISHING +ALL CURREN		Closed
1000444949	WOMBAT SEC	data not available	no data available	DIC8589	Yes	N/A	THREATSIM SIMULATED PHISHING +ALL CURREN		Closed
27	UNITED COM	PO BOX 111031	100009466200003	DIC8601	Yes	N/A	POWERBROKER PASSWORD SAFE USER LICENSE		Closed
27	UNITED COM	PO BOX 111031	100009466200003	DIC8601	Yes	N/A	UNIFIED SECURITY APPLIANCE UVM50-HW		Closed
27	UNITED COM	PO BOX 111031	100009466200003	DIC8601	Yes	N/A	UVMHW-IEX- SHIP		Closed
27	UNITED COM	PO BOX 111031	100009466200003	DIC8601	Yes	N/A	UNIFIED VULNERABILITY UVM20 VIRTUAL APPL		Closed
27	UNITED COM	PO BOX 111031	100009466200003	DIC8601	Yes	N/A	UVM HARDWARE SHIPPING AND HANDLING - INT		Closed
27	UNITED COM	PO BOX 111031	100009466200003	DIC8601	Yes	N/A	POWERBROKER PASSWORD SAFE USER LICENSE		Closed
27	UNITED COM	PO BOX 111031	100009466200003	DIC8601	Yes	N/A	PBPSU-MAINT -POWERBROKER PASSWORD SAFE U		Closed
27	UNITED COM	PO BOX 111031	100009466200003	DIC8601	Yes	N/A	POWERBROKER PASSWORD SAFE USER MAINTENAN		Closed
27	UNITED COM	PO BOX 111031	100009466200003	DIC8601	Yes	N/A	POWERBROKER PASSWORD SAFE PROFESSIONAL S		Closed
1000409263	ALPHA DATA	PO BOX 8829	100218155800003	DIC8644	No	N/A	SERVER HP DL380 G9 2P/24C/512GB/2X 146 G		Closed
1000409263	ALPHA DATA	PO BOX 8829	100218155800003	DIC8644	No	N/A	SERVER HP DL380 G9 2P/24C/512GB/2X 146 G		Closed
1000409263	ALPHA DATA	PO BOX 8829	100218155800003	DIC8644	No	N/A	SPARES PLUS 2 FREE ENGINEERS FOR 12 MONT		Closed
1000409263	ALPHA DATA	PO BOX 8829	100218155800003	DIC8644	No	N/A	SERVER HP DL380 G9 2P/24C/512GB/2X 146 G		Closed
309	CISCO	Haarlerbergweg 13 19  Amsterdam  NL	GB938856562	E7F4KJ01	No	N/A	WEB ORDER ID : 82481774 / DEAL ID : 1744		Closed
309	CISCO	Haarlerbergweg 13 19  Amsterdam  NL	GB938856562	E7F64C01	No	N/A	WEB ORDER ID : 82481774 / DEAL ID : 1744		Closed
1000448853	ACCEL FRONTLINE DMCC	P.O.Box : 26194	no data available	DIC8734	No	N/A	Oracle Sparc Server Hardwarre for Emirates airlines - Phase 2 - PROD and DR		Open
1000448853	ACCEL FRONTLINE DMCC	P.O.Box : 26194	no data available	DIC8706	No	N/A	Oracle Sparc Server Hardwarre for Emirates airlines - Phase 1 - Non prod server		Open
na	CIC India	Global Technology Services  Noida  India	no data available		Yes	N/A	IBM CIC India Team - storage delivery support	1) Storage Management 2) Storage Planning	na
na	CIS South Africa	Global Technology Services  South Africa	no data available		Yes	N/A	IBM CIC Soth Africa Team - mainframe delivery support	1) Server systems management - Mainframe 2)Storage management - Mainframe 3) infrastructure - Systems management - mainframe	na
na	IBM TSS	Dubai Internet city  no 5  Dubai  UAE	no data available		Yes	N/A	IBM MEA Team - hardware support	Server systems management - Storage and mainframe	na
606L5255	INDIA CIC GTS	Manyata Embassy Business Park  Outer Ring Road  Nagawara  Bangalore - 560045  India		CIC - IRELAND HUB - GHANA SERVICE FOR FIDELITY BAN ica2018028303	yes	N/A	CIC - IRELAND HUB - GHANA SERVICE FOR FIDELITY BANK. Super ICA covering IMI for Infrastructure Management Services covering Aix servers  Databases  Weblogic  Storage and Backup & Recovery The dedicated FTEs: Quality Analyst  Change and Complaince Lead  Availability Manager and Four Resources from CIC in Artha Noida for Level 4 Weblogic and Database support	Systems Management Operations like (1) Integrated Service Management and Governance; (2) Portable Storage Media; (3) System Operations and (4) Systems Management Integration	Open
